"pdbid","ligand","dataset","SMILES","Cluster"
"3C7R","NMY","2013","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN","Row6"
"3C7R","NMY","2016","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN","Row6"
"3C44","PAR","2013","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"3C44","PAR","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"3DVV","RIO","2013","OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O","Row6"
"3DVV","RIO","2016","OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O","Row6"
"3S4P","JS6","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](OCCNCCc3ccccc3)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"3TD1","GET","2013","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@](O)(C)CO2)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)[C@H](O)C","Row6"
"3TD1","GET","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@](O)(C)CO2)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)[C@H](O)C","Row6"
"3WRU","SJP","2016","[C@H]1([C@@H](CC[C@@H](CN)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)NC(=O)[C@H]([C@@H](CN)F)O)O)O[C@H]1[C@@H]([C@@H]([C@@H](CO)O1)O[C@@H]1[C@@H](CC[C@H](CN)O1)N)O","Row6"
"4F8U","SIS","2016","[C@H]1([C@@H](CC=C(CN)O1)N)O[C@@H]1[C@H](C[C@H]([C@@H]([C@H]1O)O[C@@H]1[C@@H]([C@H]([C@@](CO1)(C)O)NC)O)N)N","Row6"
"4F8V","SIS","2016","[C@H]1([C@@H](CC=C(CN)O1)N)O[C@@H]1[C@H](C[C@H]([C@@H]([C@H]1O)O[C@@H]1[C@@H]([C@H]([C@@](CO1)(C)O)NC)O)N)N","Row6"
"4K32","GET","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@](O)(C)CO2)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)[C@H](O)C","Row6"
"4P20","AKN","2013","[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CN)O1)O)O)O)O[C@@H]1[C@H](C[C@@H](NC(=O)[C@H](CCN)O)[C@@H]([C@H]1O)O[C@@H]1[C@H](O)[C@@H](N)[C@H](O)[C@H](O1)CO)N","Row6"
"4P20","AKN","2016","[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CN)O1)O)O)O)O[C@@H]1[C@H](C[C@@H](NC(=O)[C@H](CCN)O)[C@@H]([C@H]1O)O[C@@H]1[C@H](O)[C@@H](N)[C@H](O)[C@H](O1)CO)N","Row6"
"4P95","MES","2016","O1CC[NH+](CC1)CCS(=O)(=O)[O-]","Row6"
"4PDQ","NMZ","2016","[C@@H]1([C@@H](CN)O[C@@H]([C@@H]([C@H]1O)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)NC(=O)[C@H](CCN)O)O)O[C@H]1[C@@H]([C@@H]([C@@H](CO)O1)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](CN)O1)O)O)N)O)F","Row6"
"5BWS","V71","2016","[C@H]1([C@@H]([C@H]([C@H]([C@@H](CN)O1)F)O)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O","Row6"
"5BXK","S81","2016","[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CN)O1)F)O)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O","Row6"
"1FUF","SPM","2013","NCCCNCCCCNCCCN","Row9"
"1FUF","SPM","2016","NCCCNCCCCNCCCN","Row9"
"1J8G","SPM","2013","NCCCNCCCCNCCCN","Row9"
"1J8G","SPM","2016","NCCCNCCCCNCCCN","Row9"
"1XPF","SPM","testing","NCCCNCCCCNCCCN","Row9"
"2GUN","SPM","2013","NCCCNCCCCNCCCN","Row9"
"2GUN","SPM","2016","NCCCNCCCCNCCCN","Row9"
"2O3Y","SPM","2013","NCCCNCCCCNCCCN","Row9"
"2O3Y","SPM","2016","NCCCNCCCCNCCCN","Row9"
"2W89","GOL","2013","C(O)C(O)CO","Row9"
"2W89","GOL","2016","C(O)C(O)CO","Row9"
"3GLP","GOL","2013","C(O)C(O)CO","Row9"
"3GLP","GOL","2016","C(O)C(O)CO","Row9"
"4NFO","SPM","2016","NCCCNCCCCNCCCN","Row9"
"4P5J","SPM","2016","NCCCNCCCCNCCCN","Row9"
"2B57","6AP","2013","[nH]1cnc2c1nc(N)nc2N","Row39"
"2B57","6AP","2016","[nH]1cnc2c1nc(N)nc2N","Row39"
"2EES","HPA","2013","[nH]1cnc2c(c1=O)[nH]cn2","Row39"
"2EES","HPA","2016","[nH]1cnc2c(c1=O)[nH]cn2","Row39"
"2EEU","HPA","2013","[nH]1cnc2c(c1=O)[nH]cn2","Row39"
"2EEU","HPA","2016","[nH]1cnc2c(c1=O)[nH]cn2","Row39"
"2G9C","3AY","2013","Nc1cc(nc(n1)N)N","Row39"
"2G9C","3AY","2016","Nc1cc(nc(n1)N)N","Row39"
"2XNZ","3AW","2016","n1c(C)nc(nc1N)N","Row39"
"3FO6","6GO","2013","COc1nc(nc2c1[nH]cn2)N","Row39"
"3FO6","6GO","2016","COc1nc(nc2c1[nH]cn2)N","Row39"
"3G4M","2BP","2013","[nH]1cnc2cnc(N)nc12","Row39"
"3G4M","2BP","2016","[nH]1cnc2cnc(N)nc12","Row39"
"3GAO","XAN","2013","[nH]1c2[nH]c(=O)[nH]c(=O)c2nc1","Row39"
"3GAO","XAN","2016","[nH]1c2[nH]c(=O)[nH]c(=O)c2nc1","Row39"
"3GOT","A2F","2013","Fc1nc2c(c(n1)N)[nH]cn2","Row39"
"3GOT","A2F","2016","Fc1nc2c(c(n1)N)[nH]cn2","Row39"
"3LA5","5AZ","2013","c1(=O)[nH]c(ncn1)N","Row39"
"3LA5","5AZ","2016","c1(=O)[nH]c(ncn1)N","Row39"
"3RKF","DX4","2016","c12c(c(=S)[nH]c(N)n1)nc[nH]2","Row39"
"4FE5","HPA","2013","[nH]1cnc2c(c1=O)[nH]cn2","Row39"
"4FE5","HPA","2016","[nH]1cnc2c(c1=O)[nH]cn2","Row39"
"4LVZ","6AP","2016","[nH]1cnc2c1nc(N)nc2N","Row39"
"4LX5","29G","2016","Nc1nc(nc2c1cncn2)N","Row39"
"4LX6","29H","2016","[nH]1c(=O)c2cncnc2nc1N","Row39"
"1AM0","AMP","testing","P(=O)(O)(O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"1EHT","TEP","testing","Cn1c(=O)n(C)c2c(c1=O)[nH]cn2","Row159"
"1F27","BTN","2016","C(=O)(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12","Row159"
"1FMN","FMN","testing","N1=C2[C@@H](C(=O)NC1=O)N=C1C=C(C)C(=C[C@H]1N2C[C@@H](O)[C@@H](O)[C@@H](O)CO[P@@](=O)(O)O)C","Row159"
"1LVJ","PMZ","2013","S1c2ccc(cc2N(c2c1cccc2)CCCN(C)C)C(=O)C","Row159"
"1LVJ","PMZ","2016","S1c2ccc(cc2N(c2c1cccc2)CCCN(C)C)C(=O)C","Row159"
"1NJN","SPS","2013","C1(=O)N=[C](=O)N=C(C)[C@H]1CCC(=O)N[C@H](CO)CSCSC","Row159"
"1NJN","SPS","2016","C1(=O)N=[C](=O)N=C(C)[C@H]1CCC(=O)N[C@H](CO)CSCSC","Row159"
"1O15","TEP","2013","Cn1c(=O)n(C)c2c(c1=O)[nH]cn2","Row159"
"1O15","TEP","2016","Cn1c(=O)n(C)c2c(c1=O)[nH]cn2","Row159"
"1P9X","TEL","2013","C[C@]12[C@H](N(C(=O)O2)CCCCn2cc(nc2)c2cccnc2)[C@@H](C)C(=O)[C@H](C)C[C@](OC)(C)[C@@H]([C@H](C(=O)[C@@H](C(=O)O[C@@H]1CC)C)C)O[C@H]1[C@H](O)[C@@H](N(C)C)C[C@H](O1)C","Row159"
"1P9X","TEL","2016","C[C@]12[C@H](N(C(=O)O2)CCCCn2cc(nc2)c2cccnc2)[C@@H](C)C(=O)[C@H](C)C[C@](OC)(C)[C@@H]([C@H](C(=O)[C@@H](C(=O)O[C@@H]1CC)C)C)O[C@H]1[C@H](O)[C@@H](N(C)C)C[C@H](O1)C","Row159"
"1RAW","AMP","2013","P(=O)(O)(O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"1RAW","AMP","2016","P(=O)(O)(O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"1UTS","P13","testing","c1c(cc(c(c1)OCCCN)CNCCN1CCNCC1)c1cc2cc[nH]c2cc1","Row159"
"1UUD","P14","testing","c1(c(cc(cc1)OC)CNCCCCNC(=N)N)OCCNC(=N)N","Row159"
"1UUI","P12","testing","c1c(cc(c(c1)OCCC[NH3+])C[NH+]1CCN(CC1)C(=N)N)OC","Row159"
"2AU4","GTP","2013","[P@@](=O)(O)(O)O[P@](=O)(O)O[P@](=O)(O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(=O)[nH]c(N)nc12","Row159"
"2AU4","GTP","2016","[P@@](=O)(O)(O)O[P@](=O)(O)O[P@](=O)(O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(=O)[nH]c(N)nc12","Row159"
"2CKY","TPP","2013","n1c(C)nc(N)c(c1)C[n+]1csc(c1C)CCO[P@@](=O)(O)OP(=O)(O)O","Row159"
"2CKY","TPP","2016","n1c(C)nc(N)c(c1)C[n+]1csc(c1C)CCO[P@@](=O)(O)OP(=O)(O)O","Row159"
"2GDI","TPP","testing","n1c(C)nc(N)c(c1)C[n+]1csc(c1C)CCO[P@](=O)(O)OP(=O)(O)O","Row159"
"2GIS","SAM","2013","N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"2GIS","SAM","2016","N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"2KD4","PRL","2016","c1cc(cc2nc3cc(ccc3cc12)N)N","Row159"
"2KGP","MIX","2016","OCCNCCNc1ccc(c2c1C(=O)c1c(O)ccc(O)c1C2=O)NCCNCCO","Row159"
"2KTZ","ISH","2016","c1cc2c(c3c1O[C@H](C3)CN(C)C)n(c(n2)N)CCCN(C)C","Row159"
"2KU0","ISI","2016","c1cc2c(c3c1O[C@@H](C3)CN(C)C)n(c(N)n2)CCCN(C)C","Row159"
"2L1V","PRF","2016","[nH]1c(nc2c(c1=O)c(CN)c[nH]2)N","Row159"
"2L8H","L8H","2016","Nc1cc(OC)c2ccccc2c1","Row159"
"2L94","L94","2016","c1(ccc(cc1)/C(=[NH+]/CCC[NH+](C)C)/N)/C(=[NH+]/CCC[NH+](C)C)/N","Row159"
"2LWK","0EC","2016","c1(nc2c(c(N)n1)cc(c(c2)OC)OC)N1CCNCC1","Row159"
"2MIY","PRF","2016","[nH]1c(nc2c(c1=O)c(CN)c[nH]2)N","Row159"
"2QWY","SAM","2013","N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"2QWY","SAM","2016","N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"3D2G","TPP","2013","n1c(C)nc(N)c(c1)C[n+]1csc(c1C)CCO[P@@](=O)(O)OP(=O)(O)O","Row159"
"3D2G","TPP","2016","n1c(C)nc(N)c(c1)C[n+]1csc(c1C)CCO[P@@](=O)(O)OP(=O)(O)O","Row159"
"3D2V","PYI","2013","Cc1ncc(C[n+]2cccc(CCO[P@@](=O)(O)OP(=O)(O)O)c2C)c(N)n1","Row159"
"3D2V","PYI","2016","Cc1ncc(C[n+]2cccc(CCO[P@@](=O)(O)OP(=O)(O)O)c2C)c(N)n1","Row159"
"3D2X","D2X","testing","OP(=O)(O)O[P@](=O)(O)OCCc1c(C)[n+](cs1)Cc1cnc(C)nc1O","Row159"
"3DS7","GNG","2013","OC[C@H]1O[C@@H](n2cnc3c2[nH]c(nc3=O)N)C[C@@H]1O","Row159"
"3DS7","GNG","2016","OC[C@H]1O[C@@H](n2cnc3c2[nH]c(nc3=O)N)C[C@@H]1O","Row159"
"3E5C","SAM","2013","N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"3E5C","SAM","2016","N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"3E5E","SAH","2013","N[C@@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12)C(=O)O","Row159"
"3E5E","SAH","2016","N[C@@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12)C(=O)O","Row159"
"3F2Q","FMN","2013","n1c(=O)[nH]c(=O)c2nc3cc(C)c(C)cc3n(c12)C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O","Row159"
"3F2Q","FMN","2016","n1c(=O)[nH]c(=O)c2nc3cc(C)c(C)cc3n(c12)C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O","Row159"
"3GCA","PQ0","2013","[nH]1c(nc2c(c1=O)c(C#N)c[nH]2)N","Row159"
"3GCA","PQ0","2016","[nH]1c(nc2c(c1=O)c(C#N)c[nH]2)N","Row159"
"3GX2","SFG","testing","N[C@H](C(=O)O)CC[C@H](N)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"3GX3","SAH","2013","N[C@@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12)C(=O)O","Row159"
"3GX3","SAH","2016","N[C@@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12)C(=O)O","Row159"
"3GX5","SAM","2013","N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"3GX5","SAM","2016","N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"3IQR","SAM","2013","N[C@H](C(=O)O)CC[S@H](C)C[C@@H]1O[C@@H]([C@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"3IQR","SAM","2016","N[C@H](C(=O)O)CC[S@H](C)C[C@@H]1O[C@@H]([C@H]([C@@H]1O)O)n1cnc2c(N)ncnc12","Row159"
"3MIJ","R14","2016","CCN(CC)CCC(=O)Nc1cccc(c1)c1cn(nn1)c1ccc2cc3ccc(cc3nc2c1)n1cc(nn1)c1cccc(c1)NC(=O)CCN(CC)CC","Row159"
"3NPQ","SAH","2013","N[C@@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12)C(=O)O","Row159"
"3NPQ","SAH","2016","N[C@@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12)C(=O)O","Row159"
"3Q3Z","C2E","2016","[P@]1(=O)(O)OC[C@H]2O[C@H]([C@@H]([C@@H]2O[P@](=O)(O)OC[C@H]2O[C@H]([C@@H]([C@@H]2O1)O)n1cnc2c(=O)[nH]c(N)nc12)O)n1cnc2c(=O)[nH]c(N)nc12","Row159"
"3Q50","PRF","2016","[nH]1c(nc2c(c1=O)c(CN)c[nH]2)N","Row159"
"3SD3","FOZ","2013","N1=C(NC(=O)[C@H]2N([C@H](CNC=12)CNc1ccccc1)C=O)N","Row159"
"3SD3","FOZ","2016","N1=C(NC(=O)[C@H]2N([C@H](CNC=12)CNc1ccccc1)C=O)N","Row159"
"3SKI","GNG","2013","OC[C@H]1O[C@@H](n2cnc3c2[nH]c(nc3=O)N)C[C@@H]1O","Row159"
"3SKI","GNG","2016","OC[C@H]1O[C@@H](n2cnc3c2[nH]c(nc3=O)N)C[C@@H]1O","Row159"
"3SKL","GNG","2013","OC[C@H]1O[C@@H](n2cnc3c2[nH]c(nc3=O)N)C[C@@H]1O","Row159"
"3SKL","GNG","2016","OC[C@H]1O[C@@H](n2cnc3c2[nH]c(nc3=O)N)C[C@@H]1O","Row159"
"3SKR","GNG","2013","OC[C@H]1O[C@@H](n2cnc3c2[nH]c(nc3=O)N)C[C@@H]1O","Row159"
"3SKR","GNG","2016","OC[C@H]1O[C@@H](n2cnc3c2[nH]c(nc3=O)N)C[C@@H]1O","Row159"
"3SKZ","GMP","2013","OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(=O)[nH]c(N)nc12","Row159"
"3SKZ","GMP","2016","OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(=O)[nH]c(N)nc12","Row159"
"3SUH","FFO","2013","n1c(N)[nH]c(=O)c2N([C@H](CNc12)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C=O","Row159"
"3SUH","FFO","2016","n1c(N)[nH]c(=O)c2N([C@H](CNc12)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C=O","Row159"
"3SUX","THF","testing","Nc1nc2c(c(=O)n1)N[C@H](CN2)C","Row159"
"3TZR","SS0","2013","CN(CCCn1c2c(nc1N)ccc1OC[C@H](Cc21)CN(C)C)C","Row159"
"3TZR","SS0","2016","CN(CCCn1c2c(nc1N)ccc1OC[C@H](Cc21)CN(C)C)C","Row159"
"4JF2","PRF","2016","[nH]1c(nc2c(c1=O)c(CN)c[nH]2)N","Row159"
"4KQY","SAM","2013","N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c2ncnc(c2nc1)N","Row159"
"4KQY","SAM","2016","N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c2ncnc(c2nc1)N","Row159"
"4LVV","FFO","2013","n1c(N)[nH]c(=O)c2N([C@H](CNc12)CNc1ccc(cc1)C(=O)N)C=O","Row159"
"4LVV","FFO","2016","n1c(N)[nH]c(=O)c2N([C@H](CNc12)CNc1ccc(cc1)C(=O)N)C=O","Row159"
"4LVW","7DG","2016","N1=CCc2c(=O)[nH]c(N)nc12","Row159"
"4LVX","H4B","2016","n1c(N)[nH]c(=O)c2c1NC[C@@H](N2)[C@@H](O)[C@H](C)O","Row159"
"4LVY","LYA","2016","c1(ccc(cc1)C(=O)N)CCc1c[nH]c2c1c(=O)nc([nH]2)N","Row159"
"4QK8","2BA","2016","[P@]1(=O)(O)OC[C@H]2O[C@H]([C@@H]([C@@H]2O[P@](=O)(O)OC[C@H]2O[C@H]([C@@H]([C@@H]2O1)O)n1cnc2c(N)ncnc12)O)n1cnc2c(N)ncnc12","Row159"
"4QK9","2BA","2016","[P@]1(=O)(O)OC[C@H]2O[C@H]([C@@H]([C@@H]2O[P@](=O)(O)OC[C@H]2O[C@H]([C@@H]([C@@H]2O1)O)n1cnc2c(N)ncnc12)O)n1cnc2c(N)ncnc12","Row159"
"4YAZ","4BW","2016","O=c1[nH]c(N)nc2c1ncn2[C@H]1[C@H](O)[C@H]2[C@H](O1)CO[P@@](=O)(O[C@@H]1[C@@H](CO[P@](=O)(O2)O)O[C@H]([C@@H]1O)n1cnc2c1ncnc2N)O","Row159"
"4YB0","C2E","2016","[P@@]1(=O)(O)OC[C@H]2O[C@H]([C@@H]([C@@H]2O[P@](=O)(O)OC[C@H]2O[C@H]([C@@H]([C@@H]2O1)O)n1cnc2c(=O)[nH]c(N)nc12)O)n1cnc2c(=O)[nH]c(N)nc12","Row159"
"4ZNP","AMZ","2016","O=C(N)c1c(N)n(cn1)[C@H]1[C@@H]([C@H](O)[C@H](O1)COP(=O)(O)O)O","Row159"
