[NH3+][C@H](C=O)CCCNC(=[NH2+])N	ligand.pdb	1AJU
N[C@H](C=O)CCCNC(=[NH2+])N		1AKX
P(=O)(O)(O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12	1AM0_AMP_A_41	1AM0
N[C@H](C(=O)O)CCCNC(=[NH2+])N		1ARJ
[C@@H]1(O[C@H](O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@@H]([C@H]([C@](CO2)(O)C)NC)O)N)[C@H](N)CC1)CN	ligands/ligand.pdb	1BYJ
Cn1c(=O)n(C)c2c(c1=O)[nH]cn2	1EHT_TEP_A_34	1EHT
[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN	1EI2_NMY_A_26	1EI2
C(=O)(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12	1F27_BTN_A_33	1F27
N1=C2[C@@H](C(=O)NC1=O)N=C1C=C(C)C(=C[C@H]1N2C[C@@H](O)[C@@H](O)[C@@H](O)CO[P@@](=O)(O)O)C	ligand.pdb	1FMN
NCCCNCCCCNCCCN	1FUF_SPM_B_98	1FUF
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	1FYP_PAR_A_28	1FYP
CC(O)(C)C[C@@H](O)C	1G4Q_MPD_A_25	1G4Q
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	1J7T_PAR_A_45	1J7T
NCCCNCCCCNCCCN	1J8G_SPM_A_62	1J8G
N[C@H](C(=O)O)CCCNC(=[NH2+])N		1KOC
C(=O)(O)[C@@H](N)CCCNC(=O)N	1KOD_CIR_B_1	1KOD
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](N)[C@H](O)[C@H](O2)CO)N)[C@H](N)C[C@H](O)[C@H](O1)CN	1LC4_TOY_A_47	1LC4
S1c2ccc(cc2N(c2c1cccc2)CCCN(C)C)C(=O)C	1LVJ_PMZ_A_47	1LVJ
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@](O)(C)CO2)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)[C@H](O)C	1MWL_GET_A_45	1MWL
[C@H](CCCNC(=N)N)(C(=O)O)[NH3+]	1NBK_GND_A_35	1NBK
[C@@H]1(O[C@H]([C@H](O)[C@@H]1O[C@H]1O[C@H]([C@H]([C@@H]([C@H]1N)O)O)CN)O[C@H]1[C@@H]([C@H](C[C@@H](N)[C@@H]1O)N)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1N)O)O)CN)CO	ligands/ligand.pdb	1NEM
C1(=O)N=[C](=O)N=C(C)[C@H]1CCC(=O)N[C@H](CO)CSCSC	ligand.pdb	1NJN
[C@@H]1(NC(=N)N)[C@@H](O)[C@H](NC(=N)N)[C@@H](O[C@H]2[C@@H]([C@@](O)(C=O)[C@H](C)O2)O[C@H]2[C@@H](NC)[C@H](O)[C@@H](O)[C@@H](O2)CO)[C@H](O)[C@H]1O	1NTA_SRY_A_26	1NTA
[C@@H]1(NC(=N)N)[C@@H](O)[C@H](NC(=N)N)[C@@H](O[C@H]2[C@@H]([C@@](O)(C=O)[C@H](C)O2)O[C@H]2[C@@H](NC)[C@H](O)[C@@H](O)[C@@H](O2)CO)[C@H](O)[C@H]1O	1NTB_SRY_A_25	1NTB
Cn1c(=O)n(C)c2c(c1=O)[nH]cn2	1O15_TEP_A_34	1O15
[C@@H]1(O[C@H](O[C@H]2[C@@H]([C@H]([C@H](NC(=O)[C@H](O)CCN)C[C@@H]2N)OCCNCCCCN)O)[C@H](N)[C@@H](O)[C@@H]1O)CN	ligands/ligand.pdb	1O9M
C[C@]12[C@H](N(C(=O)O2)CCCCn2cc(nc2)c2cccnc2)[C@@H](C)C(=O)[C@H](C)C[C@](OC)(C)[C@@H]([C@H](C(=O)[C@@H](C(=O)O[C@@H]1CC)C)C)O[C@H]1[C@H](O)[C@@H](N(C)C)C[C@H](O1)C	1P9X_TEL_0_2881	1P9X
[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@H](O)[C@H](O[C@H]3O[C@H]([C@H]([C@@H]([C@H]3N)O)O)CN)[C@H](O2)CO)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	ligands/ligand.pdb	1PBR
C(=C\1/C=CC(=[N+](C)C)C=C1)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O[C@H]1O[C@H]([C@H]([C@@H]([C@H]1N)O)O)CN)O)O[C@H]1[C@H](O[C@H]2O[C@@H]([C@H]([C@@H]([C@H]2N)O)O)CN)[C@H](C[C@H]([C@@H]1O)N)N	ligands/ligand.pdb	1QD3
P(=O)(O)(O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12	1RAW_AMP_A_37	1RAW
[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)N)O)O[C@H]1[C@@H](C[C@@H]([C@@H](O[C@@H]2[C@@H](C[C@@H]([C@@H](CN)O2)O)N)[C@@H]1O)N)N	ligands/ligand.pdb	1TOB
c1c(cc(c(c1)OCCCN)CNCCN1CCNCC1)c1cc2cc[nH]c2cc1	1UTS_P13_B_1046	1UTS
c1(c(cc(cc1)OC)CNCCCCNC(=N)N)OCCNC(=N)N	ligand.pdb	1UUD
c1c(cc(c(c1)OCCC[NH3+])C[NH+]1CCN(CC1)C(=N)N)OC	1UUI_P12_B_1046	1UUI
NCCCNCCCCNCCCN	1XPF_SPM_A_108	1XPF
[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O	1YRJ_AM2_A_151	1YRJ
[C@@H]12O[C@@H]3[C@H](C[C@@H](N)[C@@H]([C@H]3O[C@H]3[C@H](O)[C@H](O[C@@H]4[C@H](N)[C@@H](O)[C@H](O)[C@@H](O4)CN)[C@H](O3)CN[C@@H]1[C@@H](O)[C@H](O)[C@H](O2)CN)O)N	1ZZ5_CNY_A_42	1ZZ5
[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN	2A04_NMY_A_17	2A04
[P@@](=O)(O)(O)O[P@](=O)(O)O[P@](=O)(O)OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(=O)[nH]c(N)nc12	ligand.pdb	2AU4
[nH]1cnc2c1nc(N)nc2N	2B57_6AP_A_91	2B57
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@@H]2O[C@@H]([C@H]([C@H]2OCCNC[C@@H]2CNCCC2)O[C@@H]2[C@H](N)[C@@H](O)[C@H](O)[C@@H](O2)CN)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	2BE0_JS5_A_50	2BE0
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](OCCNCCCN)[C@@H]([C@H](O2)CO)O[C@@H]2[C@H](N)[C@@H](O)[C@H](O)[C@@H](O2)CN)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	2BEE_JS4_A_50	2BEE
n1c(C)nc(N)c(c1)C[n+]1csc(c1C)CCO[P@@](=O)(O)OP(=O)(O)O	2CKY_TPP_A_1084	2CKY
[nH]1cnc2c(c1=O)[nH]cn2	2EES_HPA_A_90	2EES
[nH]1cnc2c(c1=O)[nH]cn2	2EEU_HPA_A_90	2EEU
[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CN)O1)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)N)O)O	2ESI_KAN_A_51	2ESI
[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@H](O)[C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@H](O[C@@H]3[C@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)[C@@H](O2)CN)O)N)[C@H](N)C[C@H](O)[C@H](O1)CO	2ESJ_LIV_A_50	2ESJ
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@@](O)(CO2)C)N)[C@H](N)CC[C@H](O1)CN	2ET3_LLL_A_50	2ET3
[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN	2ET4_NMY_A_50	2ET4
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O	2ET5_RIO_A_54	2ET5
O[C@@H]1[C@@H](O)[C@H](N)C[C@H](N)[C@H]1O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1N	2ET8_XXX_B_51	2ET8
O[C@@H]1[C@@H](O)[C@H](N)C[C@H](N)[C@H]1O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1N	2F4S_XXX_B_501	2F4S
[C@H]1([C@@H]([C@@H](O)[C@H](O)[C@H](O1)CN)N)O[C@@H]1[C@H](C[C@@H](NC(=O)[C@@H](CCN)O)[C@@H]([C@H]1O)OCCNCCN)N	2F4T_AB9_B_1	2F4T
[C@H]1([C@@H]([C@@H](O)[C@H](O)[C@H](O1)CO)N)O[C@@H]1[C@H](C[C@@H](NC(=O)[C@@H](CCN)O)[C@@H]([C@H]1O)OCCNCCCN)N	2F4U_AB6_B_41	2F4U
O[C@@H]1[C@@H](O)[C@H](N)C[C@H](N)[C@H]1O[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1N	2FCX_XXX_A_101	2FCX
[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN	2FCY_NMY_A_1001	2FCY
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O	2FCZ_RIO_A_1024	2FCZ
[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O	2G5K_AM2_A_102	2G5K
Nc1cc(nc(n1)N)N	2G9C_3AY_A_91	2G9C
n1c(C)nc(N)c(c1)C[n+]1csc(c1C)CCO[P@](=O)(O)OP(=O)(O)O	2GDI_TPP_X_100	2GDI
N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12	ligand.pdb	2GIS
NCCCNCCCCNCCCN	2GUN_SPM_B_521	2GUN
[C@@H]1(O[C@@H]2[C@@H]([C@H]([C@H](NC(=[NH2+])N)C[C@@H]2NC(=[NH2+])N)O)O[C@H]2[C@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)CNC(=[NH2+])N)O)O)NC(=[NH2+])N)O)[C@@H](NC(=[NH2+])N)[C@H](O)[C@@H](O)[C@@H](O1)CNC(=[NH2+])N	2JUK_G0B_A_23	2JUK
c1cc(cc2nc3cc(ccc3cc12)N)N	2KD4_PRL_A_17	2KD4
OCCNCCNc1ccc(c2c1C(=O)c1c(O)ccc(O)c1C2=O)NCCNCCO	2KGP_MIX_A_26	2KGP
c1cc2c(c3c1O[C@H](C3)CN(C)C)n(c(n2)N)CCCN(C)C	2KTZ_ISH_A_39	2KTZ
c1cc2c(c3c1O[C@@H](C3)CN(C)C)n(c(N)n2)CCCN(C)C	2KU0_ISI_A_39	2KU0
N[C@H](C=O)CCCNC(=[NH2+])N		2KX8
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O	2KXM_RIO_A_101	2KXM
[nH]1c(nc2c(c1=O)c(CN)c[nH]2)N	2L1V_PRF_A_37	2L1V
Nc1cc(OC)c2ccccc2c1	2L8H_L8H_A_2	2L8H
c1(ccc(cc1)/C(=[NH+]/CCC[NH+](C)C)/N)/C(=[NH+]/CCC[NH+](C)C)/N	2L94_L94_A_46	2L94
c1(nc2c(c(N)n1)cc(c(c2)OC)OC)N1CCNCC1	2LWK_0EC_A_101	2LWK
[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O	2M4Q_AM2_1_101	2M4Q
[nH]1c(nc2c(c1=O)c(CN)c[nH]2)N	2MIY_PRF_A_101	2MIY
